id,name,price,bag_type,short_description,long_description,weight,height,width,length,has_front_img,has_back_img,has_side_img,has_inside_img,AZ notes for BZ
az0001,Indigo Mountain Medium Tote,120,Tote,Medium-sized indigo-dyed waxed canvas and leather tote with shoulder strap,This is the pocket-lover's tote! It includes four outside pockets in indigo-dyed waxed canvas and two internal pockets in navy cotton lining. It has both short tote straps and a removable shoulder strap. Fits a small laptop or tablet in addition to all of the essentials. ,,,,,y,y,y,y,inside image same as Blue Medium Tote
az0002,Cerulean Medium Tote,120,Tote,Medium-sized waxed canvas and leather tote with shoulder strap,This is the pocket-lover's tote! It includes four outside pockets in waxed canvas and two internal pockets in navy cotton lining. It has both short tote straps and a removable shoulder strap. Fits a small laptop or tablet in addition to all of the essentials. ,,,,,y,y,y,y,inside image same as Indigo Mountain Medium Tote
az0003,Cerulean Small tote,65,Tote,Small waxed canvas and leather tote,This minimalist tote has two outside pockets and a magnetic snap closure. No lining means you can stick your nose inside and smell the sweet beeswax and leather any time.,,,,,y,n,y,n,
az0004,Indigo Shibori Small Tote,65,Tote,Small indigo-dyed waxed canvas and leather tote,This minimalist tote is made from indigo-dyed canvas using a shibori method of binding before dyeing. It has two outside pockets and a magnetic snap closure. No lining means you can stick your nose inside and smell the sweet beeswax and leather any time.,,,,,y,n,y,n,
az0005,Indigo Mountain Crossbody with Leather,80,Crossbody,Indigo-dyed beeswaxed canvas and leather crossbody bag,"An everyday bag that fits all of the essentials (phone, wallet, keys) + a few extra essentials (book/journal, sunglasses, small knitting project, tablet, first aid kit). Each piece is hand dyed with indigo and hand waxed with beeswax (by AZ). The leather is buttery, delightful, and hand veg-tanned in italy. ",,,,,y,y,y,y,single inside image for all crossbodies
az0006,Indigo Prairie Crossbody with Leather,80,Crossbody,Indigo-dyed beeswaxed canvas and leather crossbody bag,"An everyday bag that fits all of the essentials (phone, wallet, keys) + a few extra essentials (book/journal, sunglasses, small knitting project, tablet, first aid kit). Each piece is hand dyed with indigo and hand waxed with beeswax (by AZ). The leather is buttery, delightful, and hand veg-tanned in italy. ",,,,,y,y,y,y,single inside image for all crossbodies
az0007,Indigo Shibori Crossbody with Leather,80,Crossbody,Indigo-dyed beeswaxed canvas and leather crossbody bag,"An everyday bag that fits all of the essentials (phone, wallet, keys) + a few extra essentials (book/journal, sunglasses, small knitting project, tablet, first aid kit). Each piece is hand dyed with indigo and hand waxed with beeswax (by AZ). The leather is buttery, delightful, and hand veg-tanned in italy. ",,,,,y,y,y,y,single inside image for all crossbodies
az0008,Cerulean Crossbody with Leather,80,Crossbody,Crossbody bag made from beeswaxed canvas and leather,"An everyday bag that fits all of the essentials (phone, wallet, keys) + a few extra essentials (book/journal, sunglasses, small knitting project, tablet, first aid kit). Each piece is hand waxed with beeswax (by AZ). The leather is buttery, delightful, and hand veg-tanned in italy.",,,,,y,y,y,y,single inside image for all crossbodies
az0009,Indigo Mountain Crossbody,70,Crossbody,Indigo-dyed beeswaxed canvas and leather crossbody bag,"An everyday bag that fits all of the essentials (phone, wallet, keys) + a few extra essentials (book/journal, sunglasses, small knitting project, tablet, first aid kit). Each piece is hand dyed with indigo and hand waxed with beeswax (by AZ).",,,,,y,y,y,y,single inside image for all crossbodies
az0010,Indigo Prairie Crossbody,70,Crossbody,Indigo-dyed beeswaxed canvas and leather crossbody bag,"An everyday bag that fits all of the essentials (phone, wallet, keys) + a few extra essentials (book/journal, sunglasses, small knitting project, tablet, first aid kit). Each piece is hand dyed with indigo and hand waxed with beeswax (by AZ).",,,,,y,y,y,y,single inside image for all crossbodies
az0011,Indigo Cloud Crossbody,70,Crossbody,Indigo-dyed beeswaxed canvas and leather crossbody bag,"An everyday bag that fits all of the essentials (phone, wallet, keys) + a few extra essentials (book/journal, sunglasses, small knitting project, tablet, first aid kit). Each piece is hand dyed with indigo and hand waxed with beeswax (by AZ).",,,,,y,y,y,y,single inside image for all crossbodies
az0012,Indigo Shibori Crossbody,70,Crossbody,Indigo-dyed beeswaxed canvas and leather crossbody bag,"An everyday bag that fits all of the essentials (phone, wallet, keys) + a few extra essentials (book/journal, sunglasses, small knitting project, tablet, first aid kit). Each piece is hand dyed with indigo and hand waxed with beeswax (by AZ).",,,,,y,y,y,y,single inside image for all crossbodies
az0013,Indigo Mountain Clutch,55,Clutch,Small indigo-dyed beeswaxed canvas and leather clutch,"Great as an evening clutch or, without the strap, a pouch to keep things in order within a larger bag. Fits most essentials (phone, credit cards, keys). Each piece is hand dyed with indigo and hand waxed with beeswax (by AZ). The leather is buttery, delightful, and hand veg-tanned in italy. ",,,,,y,y,n,n,
az0014,Indigo Shibori Clutch,55,Clutch,Small indigo-dyed beeswaxed canvas and leather clutch,"Great as an evening clutch or, without the strap, a pouch to keep things in order within a larger bag. Fits most essentials (phone, credit cards, keys). Each piece is hand dyed with indigo and hand waxed with beeswax (by AZ). The leather is buttery, delightful, and hand veg-tanned in italy. ",,,,,y,y,y,n,
az0015,Indigo Diagonal Clutch,55,Clutch,Small indigo-dyed beeswaxed canvas and leather clutch,"Great as an evening clutch or, without the strap, a pouch to keep things in order within a larger bag. Fits most essentials (phone, credit cards, keys). Each piece is hand dyed with indigo and hand waxed with beeswax (by AZ). The leather is buttery, delightful, and hand veg-tanned in italy. ",,,,,y,y,n,y,inside = phone etc coming out
az0016,Indigo Prairie Clutch,55,Clutch,Small indigo-dyed beeswaxed canvas and leather clutch,"Great as an evening clutch or, without the strap, a pouch to keep things in order within a larger bag. Fits most essentials (phone, credit cards, keys). Each piece is hand dyed with indigo and hand waxed with beeswax (by AZ). The leather is buttery, delightful, and hand veg-tanned in italy. ",,,,,n,n,n,y,inside = phone etc coming out
