code,# at neighbor goods,name,category,stock on hand,base sale price,Include on website? ,front pic,back pic,side pic,inside pic,strap option 1,strap option 2,strap option 3
AZ0010,1,Clutch - Cerulean - lisaro,Clutch ,0,45,y,y,y,y,y,y,y,y
AZ0011,1,Clutch - Mountain - lisaro,Clutch ,0,45,y,y,,,y,y,y,y
AZ0012,1,Clutch - Mountain - maroon,Clutch ,0,45,y,y,,,y,y,y,y
AZ0013,1 (not coded),Clutch - Prairie - lisaro,Clutch ,0,45,pissing pics,,,,,,,
AZ0014,1,Clutch - Shibori Natural - lisaro,Clutch ,0,45,y,y,,,y,y,y,y
AZ0015,1,Clutch - Shibori Natural - maroon,Clutch ,0,45,y,y,,,y,y,y,y
AZ0016,1,Clutch - Shibori White - lisaro,Clutch ,0,45,y,y,y,y,,,,
AZ0017,,Clutch - Shibori White - maroon,Clutch ,0,45,y,y,,,y,y,y,y
AZ0018,7,Coin Pouch,,12,12,n,,,,,,,
AZ0019,1,Crossbody - cerulean - lisaro,Crossbody,0,90,y,y,y,y,y,y,,
AZ0020,2,Crossbody - mountain - lisaro,Crossbody,0,90,y,y,y,y,y,,,
AZ0021,,Crossbody - mountain - maroon,Crossbody,0,90,missing pics,,,,,,,
AZ0022,,Crossbody - mountain - no leather,Crossbody,0,70,y,y,y,y,y,,,
AZ0023,1,Crossbody - prairie/cloud - lisaro,Crossbody,0,90,y,y,y,y,y,,,
AZ0024,1,Crossbody - prairie/cloud - no leather,Crossbody,0,70,??,y,y,y,y,,,
AZ0025,,Crossbody - shibori white - lisaro,Crossbody,0,90,y,y,y,y,y,,,
AZ0026,1,Crossbody - shibori white - maroon,Crossbody,0,90,y,y,y,y,y,,,
AZ0027,1,Crossbody - shibori white - no leather,Crossbody,0,70,y,y,y,y,y,,,
AZ0041,2,Crossbody Strap - latigo - sold alone,Straps,0,28,n,,,,,,,
AZ0028,,Duffle - shibori,,0,250,y,y,y,y,,,,
AZ0029,1,Medium tote - cerulean - maroon,Medium Tote,2,150,y,y,y,y,y,,,
AZ0030,,Medium tote - mountain - black,Medium Tote,0,150,n,y,y,y,y,,,
AZ0031,,Medium tote - mountain - maroon,Medium Tote,0,150,missing pics,,,,,,,
AZ0032,1,Medium tote - mountain - tan,Medium Tote,1,150,y,y,,y,y,,,
AZ0033,1 (not coded),Medium tote - shibori natural - maroon,Medium Tote,1,150,y,y,,y,y,,,
AZ0034,,Medium tote - shibori natural - tan,Medium Tote,1,150,y,y,,y,y,,,
AZ0035,1,Small Tote - cerulean - maroon,Small tote,1,75,y,y,,y,,,,
AZ0036,,Small Tote - Felt - mountain - tan,Small tote,0,200,not yet,,,,,,,
AZ0037,,Small Tote - mountain - maroon ,Small tote,0,75,y,y,,y,,,,
AZ0038,2,Small Tote - mountain - tan,Small tote,2,75,y,y,,y,,,,
AZ0039,,Small Tote - shibori white - maroon,Small tote,0,75,missing pics,,,,,,,
AZ0042,,Small Tote - shibori white - black,Small tote,0,75,y,y,,y,,,,
AZ0040,,Wrist Strap - latigo - sold alone,strap,0,11,n,,,,,,,
