OLDid,NEWid,name,displayName,slug,url,inStock,stockOnHand,price,type,descriptionShort,descriptionLong,weight,height,width,length,imgFront,imgBack,imgSide,imgInside,imgStrap1,imgStrap2,imgStrap3,thumbSmallFront
az0018,AZ0010,Clutch - cerulean - lisaro,Cerulean Clutch // Lisaro Leather,clutch-cerulean-lisaro-leather,,,0,45,Clutch,,,,,,,clutch-cerulean-lisaro-leather-front-by-Azellaz.jpg,clutch-cerulean-lisaro-leather-back-by-Azellaz.jpg,clutch-cerulean-lisaro-leather-side-by-Azellaz.jpg,clutch-cerulean-lisaro-leather-inside-by-Azellaz.jpg,clutch-cerulean-lisaro-leather-strap1-by-Azellaz.jpg,clutch-cerulean-lisaro-leather-strap2-by-Azellaz.jpg,clutch-cerulean-lisaro-leather-strap3-by-Azellaz.jpg,
az0014,AZ0011,Clutch - indigo mountain - lisaro,Indigo Mountain Clutch // Lisaro Leather,clutch-indigo-mountain-lisaro-leather,,,0,45,Clutch,,,,,,,clutch-indigo-mountain-lisaro-leather-front-by-Azellaz.jpg,,,clutch-indigo-mountain-lisaro-leather-inside-by-Azellaz.jpg,clutch-indigo-mountain-lisaro-leather-strap1-by-Azellaz.jpg,clutch-indigo-mountain-lisaro-leather-strap2-by-Azellaz.jpg,clutch-indigo-mountain-lisaro-leather-strap3-by-Azellaz.jpg,
,AZ0012,Clutch - indigo mountain - maroon,Indigo Mountain Clutch // Maroon Leather,clutch-indigo-mountain-maroon-leather,,,0,45,Clutch,,,,,,,clutch-indigo-mountain-maroon-leather-front-by-Azellaz.jpg,,,clutch-indigo-mountain-maroon-leather-inside-by-Azellaz.jpg,clutch-indigo-mountain-maroon-leather-strap1-by-Azellaz.jpg,clutch-indigo-mountain-maroon-leather-strap2-by-Azellaz.jpg,clutch-indigo-mountain-maroon-leather-strap3-by-Azellaz.jpg,
,AZ0014,Clutch - indigo shibori natural - lisaro,Indigo Shibori Clutch // Lisaro Leather,clutch-indigo-shibori-natural-lisaro-leather,,,0,45,Clutch,,,,,,,clutch-indigo-shibori-natural-lisaro-leather-front-by-Azellaz.jpg,,,clutch-indigo-shibori-natural-lisaro-leather-inside-by-Azellaz.jpg,clutch-indigo-shibori-natural-lisaro-leather-strap1-by-Azellaz.jpg,clutch-indigo-shibori-natural-lisaro-leather-strap2-by-Azellaz.jpg,clutch-indigo-shibori-natural-lisaro-leather-strap3-by-Azellaz.jpg,
,AZ0015,Clutch - indigo shibori natural - maroon,Indigo Shibori Clutch // Maroon Leather,clutch-indigo-shibori-natural-maroon-leather,,,0,45,Clutch,,,,,,,clutch-indigo-shibori-natural-maroon-leather-front-by-Azellaz.jpg,,,clutch-indigo-shibori-natural-maroon-leather-inside-by-Azellaz.jpg,clutch-indigo-shibori-natural-maroon-leather-strap1-by-Azellaz.jpg,clutch-indigo-shibori-natural-maroon-leather-strap2-by-Azellaz.jpg,clutch-indigo-shibori-natural-maroon-leather-strap3-by-Azellaz.jpg,
az0015,AZ0016,Clutch - indigo shibori white - lisaro,Indigo Shibori Clutch // Lisaro Leather,clutch-indigo-shibori-white-lisaro-leather,,,0,45,Clutch,,,,,,,clutch-indigo-shibori-white-lisaro-leather-front-by-Azellaz.jpg,clutch-indigo-shibori-white-lisaro-leather-back-by-Azellaz.jpg,clutch-indigo-shibori-white-lisaro-leather-side-by-Azellaz.jpg,,,,,
,AZ0017,Clutch - indigo shibori white - maroon,Indigo Shibori Clutch // Maroon Leather,clutch-indigo-shibori-white-maroon-leather,,,0,45,Clutch,,,,,,,clutch-indigo-shibori-white-maroon-leather-front-by-Azellaz.jpg,,,clutch-indigo-shibori-white-maroon-leather-inside-by-Azellaz.jpg,clutch-indigo-shibori-white-maroon-leather-strap1-by-Azellaz.jpg,clutch-indigo-shibori-white-maroon-leather-strap2-by-Azellaz.jpg,clutch-indigo-shibori-white-maroon-leather-strap3-by-Azellaz.jpg,
az0009,AZ0019,Crossbody - cerulean - lisaro,Cerulean Crossbody // Lisaro Leather,crossbody-cerulean-lisaro-leather,,,0,90,Crossbody,,,,,,,crossbody-cerulean-lisaro-leather-front-by-Azellaz.jpg,crossbody-cerulean-lisaro-leather-back-by-Azellaz.jpg,crossbody-cerulean-lisaro-leather-side-by-Azellaz.jpg,crossbody-cerulean-lisaro-leather-inside-by-Azellaz.jpg,crossbody-cerulean-lisaro-leather-strap1-by-Azellaz.jpg,,,
az0006,AZ0020,Crossbody - indigo mountain - lisaro,Indigo Mountain Crossbody // Lisaro Leather,crossbody-indigo-mountain-lisaro-leather,,,0,90,Crossbody,,,,,,,crossbody-indigo-mountain-lisaro-leather-front-by-Azellaz.jpg,crossbody-indigo-mountain-lisaro-leather-back-by-Azellaz.jpg,crossbody-indigo-mountain-lisaro-leather-side-by-Azellaz.jpg,crossbody-indigo-mountain-lisaro-leather-inside-by-Azellaz.jpg,,,,
az0010,AZ0022,Crossbody - indigo mountain - no leather,Indigo Mountain Crossbody,crossbody-indigo-mountain-no-leather,,,0,70,Crossbody,,,,,,,crossbody-indigo-mountain-no-leather-front-by-Azellaz.jpg,crossbody-indigo-mountain-no-leather-back-by-Azellaz.jpg,crossbody-indigo-mountain-no-leather-side-by-Azellaz.jpg,crossbody-indigo-mountain-no-leather-inside-by-Azellaz.jpg,,,,
