code,# at neighbor goods,name,Display Name,category,stock on hand,base sale price,Include on website? ,front pic,back pic,side pic,inside pic,strap option 1,strap option 2,strap option 3
AZ0010,1,Clutch - cerulean - lisaro,Cerulean Clutch // Lisaro Leather,Clutch ,0,45,y,y,y,y,y,y,y,y
AZ0011,1,Clutch - indigo mountain - lisaro,Indigo Mountain Clutch // Lisaro Leather,Clutch ,0,45,y,y,,,y,y,y,y
AZ0012,1,Clutch - indigo mountain - maroon,Indigo Mountain Clutch // Maroon Leather,Clutch ,0,45,y,y,,,y,y,y,y
AZ0013,1 (not coded),Clutch - indigo prairie - lisaro,Indigo Prairie Clutch // Lisaro Leather,Clutch ,0,45,missing pics,,,,,,,
AZ0014,1,Clutch - indigo shibori natural - lisaro,Indigo Shibori Clutch // Lisaro Leather,Clutch ,0,45,y,y,,,y,y,y,y
AZ0015,1,Clutch - indigo shibori natural - maroon,Indigo Shibori Clutch // Maroon Leather,Clutch ,0,45,y,y,,,y,y,y,y
AZ0016,1,Clutch - indigo shibori white - lisaro,Indigo Shibori Clutch // Lisaro Leather,Clutch ,0,45,y,y,y,y,,,,
AZ0017,,Clutch - indigo shibori white - maroon,Indigo Shibori Clutch // Maroon Leather,Clutch ,0,45,y,y,,,y,y,y,y
AZ0018,7,Coin pouch,,,12,12,n,,,,,,,
AZ0019,1,Crossbody - cerulean - lisaro,Cerulean Crossbody // Lisaro Leather,Crossbody,0,90,y,y,y,y,y,y,,
AZ0020,2,Crossbody - indigo mountain - lisaro,Indigo Mountain Crossbody // Lisaro Leather,Crossbody,0,90,y,y,y,y,y,,,
AZ0021,,Crossbody - indigo mountain - maroon,Indigo Mountain Crossbody // Maroon Leather,Crossbody,0,90,missing pics,,,,,,,
AZ0022,,Crossbody - indigo mountain - no leather,Indigo Mountain Crossbody,Crossbody,0,70,y,y,y,y,y,,,
AZ0023,1,Crossbody - indigo prairie/cloud - lisaro,Indigo Prairie Crossbody // Lisaro Leather,Crossbody,0,90,y,y,y,y,y,,,
AZ0024,1,Crossbody -indigo  prairie/cloud - no leather,Indigo Prairie Crossbody ,Crossbody,0,70,??,y,y,y,y,,,
AZ0025,,Crossbody - indigo shibori white - lisaro,Indigo Shibori Crossbody // Lisaro Leather,Crossbody,0,90,y,y,y,y,y,,,
AZ0026,1,Crossbody - indigo shibori white - maroon,Indigo Shibori Crossbody // Maroon Leather,Crossbody,0,90,y,y,y,y,y,,,
AZ0027,1,Crossbody - indigo shibori white - no leather,Indigo Shibori Crossbody ,Crossbody,0,70,y,y,y,y,y,,,
AZ0041,2,Crossbody strap - latigo - sold alone,,Straps,0,28,n,,,,,,,
AZ0028,,Duffle - indigo shibori,Indigo Shibori Duffle // Lisaro Leather,,0,250,y,y,y,y,,,,
AZ0029,1,Medium tote - cerulean - maroon,Cerulean Medium Tote // Maroon Leather,Medium Tote,2,150,y,y,y,y,y,,,
AZ0030,,Medium tote - indigo mountain - black,Indigo Mountain Medium Tote // Black Leather,Medium Tote,0,150,n,y,y,y,y,,,
AZ0031,,Medium tote - indigo mountain - maroon,Indigo Mountain Medium Tote // Maroon Leather,Medium Tote,0,150,missing pics,,,,,,,
AZ0032,1,Medium tote - indigo mountain - tan,Indigo Mountain Medium Tote // Tan Leather,Medium Tote,1,150,y,y,,y,y,,,
AZ0033,1 (not coded),Medium tote - indigo shibori natural - maroon,Indigo Shibori Medium Tote // Maroon Leather,Medium Tote,1,150,y,y,,y,y,,,
AZ0034,,Medium tote - indigo shibori natural - tan,Indigo Shibori Medium Tote // Tan Leather,Medium Tote,1,150,y,y,,y,y,,,
AZ0035,1,Small tote - cerulean - maroon,Cerulean Small Tote // Maroon Leather,Small tote,1,75,y,y,,y,,,,
AZ0036,,Small tote - Felt - indigo mountain - tan,,Small tote,0,200,not yet,,,,,,,
AZ0037,,Small tote - indigo mountain - maroon ,Indigo Mountain Small Tote // Maroon Leather,Small tote,0,75,y,y,,y,,,,
AZ0038,2,Small tote - indigo mountain - tan,Indigo Mountain Small Tote // Tan Leather,Small tote,2,75,y,y,,y,,,,
AZ0039,,Small tote - indigo shibori white - maroon,Indigo Shibori Small Tote // Maroon Leather,Small tote,0,75,missing pics,,,,,,,
AZ0042,,Small tote - indigo shibori white - black,Indigo Shibori Small Tote // Black Leather,Small tote,0,75,y,y,,y,,,,
AZ0040,,Wrist strap - latigo - sold alone,,strap,0,11,n,,,,,,,
