id,name,slug,displayName,type,stockOnHand,basePrice,imgFront,imgBack,imgSide,imgInside,imgStrap1,imgStrap2,imgStrap3
AZ0010,Clutch - cerulean - lisaro,clutch-cerulean-lisaro-leather,Cerulean Clutch // Lisaro Leather,Clutch,0,45,y,y,y,y,y,y,y
AZ0011,Clutch - indigo mountain - lisaro,clutch-indigo-mountain-lisaro-leather,Indigo Mountain Clutch // Lisaro Leather,Clutch,0,45,y,,,y,y,y,y
AZ0012,Clutch - indigo mountain - maroon,clutch-indigo-mountain-maroon-leather,Indigo Mountain Clutch // Maroon Leather,Clutch,0,45,y,,,y,y,y,y
AZ0014,Clutch - indigo shibori natural - lisaro,clutch-indigo-shibori-natural-lisaro-leather,Indigo Shibori Clutch // Lisaro Leather,Clutch,0,45,y,,,y,y,y,y
AZ0015,Clutch - indigo shibori natural - maroon,clutch-indigo-shibori-natural-maroon-leather,Indigo Shibori Clutch // Maroon Leather,Clutch,0,45,y,,,y,y,y,y
AZ0016,Clutch - indigo shibori white - lisaro,clutch-indigo-shibori-white-lisaro-leather,Indigo Shibori Clutch // Lisaro Leather,Clutch,0,45,y,y,y,,,,
AZ0017,Clutch - indigo shibori white - maroon,clutch-indigo-shibori-white-maroon-leather,Indigo Shibori Clutch // Maroon Leather,Clutch,0,45,y,,,y,y,y,y
AZ0019,Crossbody - cerulean - lisaro,crossbody-cerulean-lisaro-leather,Cerulean Crossbody // Lisaro Leather,Crossbody,0,90,y,y,y,y,y,,
AZ0020,Crossbody - indigo mountain - lisaro,crossbody-indigo-mountain-lisaro-leather,Indigo Mountain Crossbody // Lisaro Leather,Crossbody,0,90,y,y,y,y,,,
AZ0022,Crossbody - indigo mountain - no leather,crossbody-indigo-mountain,Indigo Mountain Crossbody,Crossbody,0,70,y,y,y,y,,,
AZ0023,Crossbody - indigo prairie cloud - lisaro,crossbody-indigo-prairie-cloud-lisaro-leather,Indigo Prairie Crossbody // Lisaro Leather,Crossbody,0,90,y,y,y,y,,,
AZ0025,Crossbody - indigo shibori white - lisaro,crossbody-indigo-shibori-white-lisaro-leather,Indigo Shibori Crossbody // Lisaro Leather,Crossbody,0,90,y,y,y,y,,,
AZ0026,Crossbody - indigo shibori white - maroon,crossbody-indigo-shibori-white-maroon-leather,Indigo Shibori Crossbody // Maroon Leather,Crossbody,0,90,y,y,y,y,,,
AZ0027,Crossbody - indigo shibori white - no leather,crossbody-indigo-shibori-white,Indigo Shibori Crossbody,Crossbody,0,70,y,y,y,y,,,
AZ0028,Duffle - indigo shibori,duffle-indigo-shibori,Indigo Shibori Duffle // Lisaro Leather,Duffle,0,250,y,y,y,,,,
AZ0029,Medium tote - cerulean - maroon,medium-tote-cerulean-maroon-leather,Cerulean Medium Tote // Maroon Leather,Medium Tote,2,150,y,y,y,y,,,
AZ0032,Medium tote - indigo mountain - tan,medium-tote-indigo-mountain-tan-leather,Indigo Mountain Medium Tote // Tan Leather,Medium Tote,1,150,y,,y,y,,,
AZ0033,Medium tote - indigo shibori natural - maroon,medium-tote-indigo-shibori-natural-maroon-leather,Indigo Shibori Medium Tote // Maroon Leather,Medium Tote,1,150,y,,y,y,,,
AZ0034,Medium tote - indigo shibori natural - tan,medium-tote-indigo-shibori-natural-tan-leather,Indigo Shibori Medium Tote // Tan Leather,Medium Tote,1,150,y,,y,y,,,
AZ0035,Small tote - cerulean - maroon,small-tote-cerulean-maroon-leather,Cerulean Small Tote // Maroon Leather,Small tote,1,75,y,,y,,,,
AZ0037,Small tote - indigo mountain - maroon,small-tote-indigo-mountain-maroon-leather,Indigo Mountain Small Tote // Maroon Leather,Small tote,0,75,y,,y,,,,
AZ0038,Small tote - indigo mountain - tan,small-tote-indigo-mountain-tan-leather,Indigo Mountain Small Tote // Tan Leather,Small tote,2,75,y,,y,,,,
AZ0042,Small tote - indigo shibori white - black,small-tote-indigo-shibori-white-black-leather,Indigo Shibori Small Tote // Black Leather,Small tote,0,75,y,,y,,,,
